boat_order,races,avg_payout,max_payout,avg_net_profit
1-6-2,70,10893.42857142857,66190.0,10793.42857142857
3-1-5,66,10648.333333333334,34940.0,10548.333333333334
1-5-2,62,10009.032258064517,36350.0,9909.032258064517
3-2-1,60,14702.666666666666,76280.0,14602.666666666666
2-3-1,60,10935.166666666666,51900.0,10835.166666666666
2-4-1,59,14006.77966101695,54730.0,13906.77966101695
3-2-4,59,13824.745762711864,95210.0,13724.745762711864
1-5-4,59,10237.457627118643,65140.0,10137.457627118643
3-1-2,59,8796.77966101695,21050.0,8696.77966101695
3-1-4,58,9799.655172413793,24820.0,9699.655172413793
4-2-1,56,15561.42857142857,61850.0,15461.42857142857
4-1-5,56,13039.464285714286,33810.0,12939.464285714286
5-1-2,55,16745.81818181818,109280.0,16645.81818181818
2-1-5,54,9401.666666666666,24940.0,9301.666666666666
2-1-4,54,7923.518518518518,19620.0,7823.518518518518
5-1-3,53,17408.490566037737,148590.0,17308.490566037737
1-5-3,53,11524.716981132075,68040.0,11424.716981132075
1-6-3,52,14113.26923076923,88910.0,14013.26923076923
3-4-1,52,14086.153846153846,103640.0,13986.153846153846
3-4-2,51,19414.313725490196,96610.0,19314.313725490196
4-3-1,49,17383.877551020407,92120.0,17283.877551020407
1-5-6,49,11175.102040816326,41610.0,11075.102040816326
2-1-3,49,10493.061224489797,48210.0,10393.061224489797
4-1-2,46,14735.869565217392,99500.0,14635.869565217392
2-4-3,44,14905.227272727272,87650.0,14805.227272727272
2-3-4,43,16643.023255813954,61730.0,16543.023255813954
3-4-6,43,16049.302325581395,119170.0,15949.302325581395
5-1-4,42,18870.0,56330.0,18770.0
4-2-5,42,14896.904761904761,61560.0,14796.904761904761
1-6-5,42,14475.47619047619,147080.0,14375.47619047619
1-6-4,42,13696.666666666666,34100.0,13596.666666666666
4-1-6,42,13353.333333333334,50020.0,13253.333333333334
1-2-6,42,10166.42857142857,23990.0,10066.42857142857
5-2-1,41,20359.756097560974,104840.0,20259.756097560974
3-1-6,41,12614.634146341463,46560.0,12514.634146341463
5-1-6,40,23729.75,102140.0,23629.75
2-3-6,40,17939.25,49570.0,17839.25
3-5-1,40,17895.5,88170.0,17795.5
3-4-5,39,12269.48717948718,35400.0,12169.48717948718
1-4-6,39,9746.923076923076,49280.0,9646.923076923076
6-1-2,38,27751.052631578947,110870.0,27651.052631578947
2-5-4,38,22505.263157894737,86620.0,22405.263157894737
2-3-5,38,18891.315789473683,86040.0,18791.315789473683
4-2-6,37,20741.891891891893,132000.0,20641.891891891893
4-3-5,37,19960.0,62230.0,19860.0
2-5-1,37,18690.0,67210.0,18590.0
3-2-6,37,18300.27027027027,105330.0,18200.27027027027
3-2-5,37,16279.18918918919,61290.0,16179.18918918919
4-5-1,37,14025.405405405405,100190.0,13925.405405405405
3-5-2,36,25196.11111111111,200280.0,25096.11111111111
2-4-5,36,20245.0,113730.0,20145.0
1-3-5,36,7944.722222222223,15860.0,7844.722222222223
1-4-2,36,7473.055555555556,12730.0,7373.055555555556
5-4-1,35,31110.0,159280.0,31010.0
4-3-2,35,28410.285714285714,188190.0,28310.285714285714
2-6-1,35,26698.571428571428,87670.0,26598.571428571428
3-6-1,35,20693.428571428572,77370.0,20593.428571428572
4-5-3,34,23862.647058823528,112320.0,23762.647058823528
3-5-4,34,21767.941176470587,95540.0,21667.941176470587
4-5-6,34,18740.0,77480.0,18640.0
2-1-6,34,10085.0,24630.0,9985.0
4-1-3,33,12964.848484848484,54100.0,12864.848484848484
2-4-6,32,18204.375,96380.0,18104.375
4-6-2,29,36415.1724137931,164980.0,36315.1724137931
3-6-4,29,25662.41379310345,144070.0,25562.41379310345
1-3-6,29,11154.48275862069,38320.0,11054.48275862069
5-4-6,28,33798.92857142857,148600.0,33698.92857142857
2-5-3,28,28805.714285714286,265740.0,28705.714285714286
5-6-1,28,28055.714285714286,126470.0,27955.714285714286
4-5-2,28,15893.214285714286,52510.0,15793.214285714286
4-6-1,27,24818.51851851852,80410.0,24718.51851851852
4-2-3,27,20570.37037037037,47200.0,20470.37037037037
1-4-5,27,11192.592592592593,38900.0,11092.592592592593
1-2-5,27,8960.0,21010.0,8860.0
1-4-3,27,8664.074074074075,21800.0,8564.074074074075
5-2-3,26,27393.076923076922,91950.0,27293.076923076922
5-3-2,25,28344.4,182690.0,28244.4
4-3-6,25,27388.8,150880.0,27288.8
2-5-6,24,31340.0,126040.0,31240.0
5-3-1,24,28945.0,186160.0,28845.0
4-6-5,24,27836.666666666668,109140.0,27736.666666666668
5-2-4,24,24984.583333333332,73320.0,24884.583333333332
5-2-6,24,24241.25,84170.0,24141.25
6-1-4,22,32200.0,174640.0,32100.0
3-5-6,22,20956.363636363636,100810.0,20856.363636363636
2-6-4,21,43427.142857142855,217490.0,43327.142857142855
6-2-1,20,36889.5,159010.0,36789.5
6-1-3,20,35280.0,255000.0,35180.0
2-6-5,20,17158.5,49250.0,17058.5
3-6-2,19,40608.94736842105,153260.0,40508.94736842105
2-6-3,19,39215.78947368421,186060.0,39115.78947368421
5-3-4,18,54135.0,182120.0,54035.0
4-6-3,18,41602.77777777778,272180.0,41502.77777777778
5-6-4,17,39152.94117647059,128560.0,39052.94117647059
6-2-5,16,57142.5,263570.0,57042.5
6-4-1,16,36703.75,197260.0,36603.75
5-4-3,16,33856.875,116120.0,33756.875
5-4-2,16,32530.625,177670.0,32430.625
5-6-2,16,31018.75,188880.0,30918.75
6-4-5,16,28930.0,80060.0,28830.0
6-3-4,15,69014.66666666667,501250.0,68914.66666666667
6-1-5,14,40131.42857142857,259950.0,40031.42857142857
1-3-4,13,9061.538461538461,22030.0,8961.538461538461
1-3-2,13,6563.846153846154,12130.0,6463.846153846154
6-2-3,12,71565.0,336710.0,71465.0
3-6-5,12,21058.333333333332,84610.0,20958.333333333332
5-6-3,12,19807.5,62290.0,19707.5
6-3-2,11,105122.72727272728,292980.0,105022.72727272728
5-3-6,11,56966.36363636364,259060.0,56866.36363636364
6-4-3,11,26918.18181818182,73040.0,26818.18181818182
1-2-4,11,7410.0,11180.0,7310.0
6-5-4,10,83477.0,302410.0,83377.0
6-3-5,9,79162.22222222222,345080.0,79062.22222222222
6-3-1,9,25791.11111111111,52710.0,25691.11111111111
6-5-1,8,107006.25,421190.0,106906.25
6-2-4,8,28378.75,74370.0,28278.75
1-2-3,8,7352.5,10890.0,7252.5
6-5-2,7,33811.42857142857,83440.0,33711.42857142857
6-4-2,7,24375.714285714286,42950.0,24275.714285714286
6-5-3,6,89208.33333333333,168580.0,89108.33333333333
